MESSAGE	MSGID
Officer must be other than original	2087
Officer ~p1 replaced by officer ~p2	2088
Offset code only used for interim student loan product types	2089
Offset must be a debit transaction code	2090
Offset must be miscellaneous transaction code	2091
Offset must contain default G/L account	2092
On-us account	2093
One or more lines exceed display maximum of 80 characters	2094
Invalid FROM account number ~p1	2095
Invalid TO account number ~p2	2096
Only fee amount, fee schedule, or fee lookup table allowed for any line item	2097
Only fee amount, fee schedule, or fee lookup table allowed for any query	2098
Only fixed amounts are permitted for collection orders	2099
Only insurance rebates may be modified	2100
Minimum 2 lines required for intermediary	2101
Only payment orders may cross regions	2102
Minimum 2 lines required for branch/inst	2103
Only valid for option 4	2104
This payment type requires a frequency	2105
Open account with disbursement code for ~p1	2106
Operations ID table partially rebuilt	2107
Operations ID table rebuilt	2108
Int/div index required when int/div change frequency contains a value	2109
Payment change method required when payment change frequency contains a value	2110
Option '~p1' available only as a payoff accrual method	2111
Option 5 requires definition of payment due on next page	2112
Option selected does not require collateral support	2113
Must change original TIN/SIN	2114
Out of allocated range	2115
Output failed in dispatch to print queue	2116
Add to next pmt	2117
Output remains in file:  ~p1	2118
Current escrow pmt	2119
Outstanding Retirement/Savings plan account check for ~p1	2120
Overdraft option = ~p1 (~p2)	2121
Next escrow pmt	2122
Override required	2123
P&I must equal partial payment amount for account ~p1 	2124
Page ~p1	2125
Page ~p1 Continue	2126
Page ~p1 of ~p2	2127
Frequency required when Interest Rate Calculation Base indicates low balance	2128
Paid By Internally field may not be modified for type ~p1	2129
Parameter passed is invalid	2130
Int/Div posting frequency required	2131
Parameters entered will not generate payment record for due date ~p1	2132
Parameters must be at least 4 characters in length	2133
Partial payment amount greater than P&I payment for account ~p1	2134
Participation batch not posted	2135
Participation batch posted	2136
Password for user ~p1 deleted	2137
Password has expired	2138
Password length must be at least ~p1 characters	2139
Password must be changed	2140
Password not deleted	2141
Path ~p1 created	2142
Path ~p1 deleted	2143
Path ~p1 modified	2144
Path ~p1 not created	2145
Path ~p1 not deleted	2146
Path ~p1 not modified	2147
Low Balance Calculation Period not within Interest Posting Frequency	2148
Payee currently on file	2149
Payee does not begin until ~p1	2150
Payee ended on ~p1	2151
Payee ~p1 modified	2152
Payee ~p1 not modified	2153
Payment actions ~p1 invalid for group ~p2	2154
Num of o/d retries must be less than or equal to the maximum retries allowed	2155
Payment due date already exists.  Use maintenance function.	2156
Payment due date must be prior to or the same as the system processing date	2157
Transferring TFS customer data	2158
Num of o/d retries invalid. O/D protection not established.	2159
Payment element(s) added	2160
Payment element(s) not added	2161
Payment order cancellation (value) already completed	2162
TFS customer data transfer complete	2164
No TFS customer data to be transferred	2165
Extracting TFS customer data	2166
HOST STORE AND FORWARD is shutting down	2168
Payment string does not contain interest	2169
Payment string does not contain principal	2170
An error occurred replaying messages in STFHOST	2171
Severe error occurred posting HOST STORE AND FORWARD file. Processing ABORTED!	2172
Message ~p1 failed and is in MSGEXC under TOKEN=~p2 and MSSGID=~p3	2173
HOST STORE AND FORWARD is enabled	2174
HOST STORE AND FORWARD already enabled	2175
HOST STORE AND FORWARD is being posted	2176
Payroll deduction modified	2177
Payroll deduction not modified	2178
Payroll distributions not set up	2179
Penalty days are only valid with penalty options 3, 7, 8, or 15	2180
Penalty method ~p1 currently unsupported	2181
Permission for ~p1 on product ~p2 not defined	2182
Cannot link company to itself	2184
Plan already on file	2185
Plan already on file.  Use function SRV002.	2186
Plan owner cannot be designated as a beneficiary	2187
Plan ~p1 created	2188
Plan ~p1 deleted	2189
Plan ~p1 modified	2190
Plan ~p1 not created	2191
Plan ~p1 not deleted	2192
Plan ~p1 not modified	2193
Plan ~p1, beneficiary ~p2 created	2194
Plan ~p1, beneficiary ~p2 deleted	2195
Plan ~p1, beneficiary ~p2 modified	2196
Plan ~p1, beneficiary ~p2 not created	2197
Plan ~p1, beneficiary ~p2 not deleted	2198
Plan ~p1, beneficiary ~p2 not modified	2199
Please use normal closeout transaction code	2200
Invalid non-business date calendar	2201
PM transactions not allowed	2202
Issue date must be after order date	2203
Certificate	2204
Post-Processor	2205
Post-processor error	2206
Posting file closed for ~p1	2208
Posting file created	2209
Posting file not created	2210
Pre-Processor	2211
Host store and forward is not enabled	2212
Precedes disbursement date	2213
Precedes first due date	2214
Precedes opening date of ~p1	2215
Precedes start date	2216
Press SELECT for a list of valid options	2218
Press the Select key, or use TRN* or TRN-TRNZ syntax	2219
Previous function ~p1 not found	2220
Previous report request still active	2221
Previous screen access disabled for this process	2222
Price/share information required	2223
Primary CIF cannot be changed	2224
Principal due must be less than or equal to the principal billed	2225
Print screen header	2226
Print using operating system capabilities	2227
Printer device loaded	2228
Printer device not loaded	2229
Printer is loaded with ~p1 checks	2230
Printer is not ready	2231
Printing complete	2232
Priority 1-5 required	2233
Priority required for investment account	2234
Priority ~p1 assigned to query #~p2.  Reassign priority for query #~p3.	2235
Priority ~p1 has been entered more than once	2236
Process complete	2237
Process stopped	2238
Process stopped.  Payment exceeds amount due by $~p1.	2239
Process ~p1 is still running.  Stop the server process first.	2240
Processing error	2241
More rows found than expected	2242
Account ~p1 not eligible for loan sale processing	2243
Processing routine not defined for ~p1	2244
Processing suspended.  Run RCH002 to acknowledge, or RCH003 to continue.	2245
Product has expired	2246
Product is not active yet	2247
Product master cannot be deleted when other currencies exist for this type	2248
Product type does not have automatic non-accrual flag set	2249
Product type is not defined for this currency	2250
Product type is only defined in one currency	2251
Product type ~p1 copied to product type ~p2 for default level ~p3	2252
Product type ~p1 created	2253
Product type ~p1 deleted for default level ~p2	2254
Product type ~p1 modified for default level ~p2	2255
Product type ~p1 modified.  Changes will be transferred to accounts.	2256
Product type ~p1 modified.  Changes will not be transferred to accounts.	2257
Product type ~p1 not copied to product type ~p2 for default level ~p3	2258
Product type ~p1 not created	2259
Product type ~p1 not deleted for default level ~p2	2260
Product type ~p1 not modified for default level ~p2	2261
Product type ~p1 not restricted	2262
Product type ~p1 restricted	2263
Product type ~p1, ~p2 ~p3 not restricted	2264
Product type ~p1, ~p2 ~p3 restricted	2265
Product ~p1 already exists	2266
Product ~p1 changes have not been passed to sub-defaults	2267
Product ~p1 missing transaction code - ~p2	2268
Product ~p1 not permitted for ~p2	2269
Profitability analysis not set up for this account	2270
Profitability/yield analysis for ~p1 initialized	2271
Profitability/yield analysis for ~p1 not initialized	2272
Program name must contain the ^ symbol	2273
Program stopped - ~p1	2274
Program ~p1 does not exist	2275
Projected amount exceeds account's credit limit	2276
Protected	2277
Protection definition already created	2278
Protection program name not set up for file ~p1	2279
Province unknown	2280
Punctuation characters not allowed	2281
Purchase pool ~p1 created	2282
Purchase pool ~p1 deleted	2283
Purchase pool ~p1 modified	2284
Purchase pool ~p1 not created	2285
Purchase pool ~p1 not deleted	2286
Purchase pool ~p1 not modified	2287
Purge completed	2288
Purge from ~p1 through ~p2	2289
Queries are only permitted on the specified files	2290
Queries are only permitted on ~p1	2291
Queries are only permitted on ~p1 or ~p2	2292
Queries limited to CIF file only	2293
Queries limited to ~p1 file only	2294
Query name must be ESCHST, where ST equals escheat state	2295
Query ~p1 not found	2297
Queue ~p1 not found	2298
Quit	2299
R & T cannot also be a batch originator	2300
R & T cannot also be a file originator	2301
R & T cannot also be an on-us R & T	2302
R & T number for branch ~p1 not defined	2303
R & T number protected	2304
Range	2305
Invalid FROM qualifier ~p1	2306
Range of numbers is from 0 to 4	2307
Range ~p1 to ~p2 are allocated to branch ~p3	2308
Rate ceiling must be greater than or equal to the int/div rate	2309
Rate exceeds conventional limits	2310
Rate floor must be less than or equal to the int/div rate	2311
Rates for index ~p1 created	2312
Rates for index ~p1 deleted	2313
Rates for index ~p1 modified	2314
Rates for index ~p1 not created	2315
Rates for index ~p1 not deleted	2316
Rates for index ~p1 not modified	2317
Invalid TO qualifier ~p1	2318
Rebate amount is equal to zero	2319
Recalculated index rate = ~p1%	2320
Recall	2321
Recall option is not enabled	2322
Invalid GLOBAL qualifier ~p1	2323
Recompile report ~p1	2324
Identical FROM and TO accounts	2325
Record	2326
Record already exists	2327
Record Defaults on Create	2328
Record Delete	2329
Transactions future-dated	2330
Account ~p1 rejected. Loan sale processing may only use debit balance accounts.	2331
Rejected. Contra account ~p1 not owned by investor ~p2.	2332
Record locked by another user	2333
Record modified	2334
Record not found	2335
Record protected	2336
Record Selection Conditions	2337
Record size ~p1 is too large -- process aborted	2338
Record Type '0' Contains no Records	2339
Record ~p1 is not in the save list	2340
Record ~p1 is not on file	2341
Reference amount required for transaction ~p1	2342
Reference date required for transaction ~p1	2343
Regulation CC exception applies	2344
Rejected.  Deferred fee sequence required to process transaction.	2345
Rejected.  Fee type required to process transaction.	2346
Related account ~p1 has a balance of $~p2	2347
Related account ~p1 has an accrual balance of $~p2	2348
Related Files	2349
Account ~p1 rejected. Only credit balance accts may perform the contra role in loan sale processing.	2350
Sale prohibited. Amount of loan ~p1 sold exceeds its principal balance.	2351
Sale prohibited. Loan ~p1 and contra account ~p2 process in different currencies.	2352
Userclass ~p1 not authorized to override this restriction	2353
Userclass ~p1 not authorized to override the restriction for this function	2354
Remittance complete for batch ~p1.  Run anticipated report.	2355
Remittance must equal PRIN + INT - FEE (~p1) for account ~p2	2356
Remittance not complete for batch ~p1	2357
Remittance not posted	2358
Remittance posted	2359
Remote directory not defined	2360
Remote routine directories not updated	2361
Remote status stopped	2362
Remove data item references first	2363
Remove data or enter new data value for all data items	2364
Remove data selected.  New data value not allowed.	2365
Remove market value for share-based investment	2366
Remove or complete this transaction first	2367
Remove total shares for non share-based investment	2368
MUMPS error not processed	2369
Renewal account required	2370
Renewal review report not defined	2371
Replace 	2372
Linked to ~p1 for combined int/div balance	2373
Unlinked to ~p1 for combined int/div balance	2374
~p1 linked for int/div calculation	2375
~p1 unlinked for int/div calculation	2376
Report will not support over nine tiers	2377
Repost file not created	2378
Reposting complete.  ~p1 batches processed.	2379
Repriced term loan codes mutually exclusive.  Select one or none.	2380
Reprocess file created	2381
Reprocess file for ~p1 already exists	2382
Reprocess file not created	2383
Reprocessing of journal file complete	2384
Required	2385
Account requires an early payoff penalty method	2386
Required - teaser rate defined	2387
Required fields cannot be null - ~p1	2388
Required for all interim student loan product types	2389
Effective date precedes debit authorization start date	2390
Required for share-based investment	2391
Correct account is the same as customer account	2392
Required household type	2393
Escrow deposit account required when escrow participation percent is greater than zero	2394
Prin and int/div deposit account required when fee processing flag is on	2395
Prin and int/div deposit account required when P&I processing flag is on	2396
Prin and int/div deposit account required with contra account processing option	2397
Requires ~p1 privileges	2398
Resides in purchased loan file	2399
Resolve account integrity errors before proceeding	2400
Response of '0' required if calculation option is '1'	2401
Response required with int/div method of ~p1	2402
Data required in data item escrow G/L account offset	2403
Data required in data item service fee G/L account offset	2404
Restricted group.  No summary entries allowed.	2405
Restricted statement group.  Only one account allowed.	2406
Restriction cannot be overridden	2407
Restriction must exist in OVR system table or RFLG user table	2408
Restriction ~p1 modified for account ~p2	2409
Restriction ~p1 not modified for account ~p2	2410
Restriction ~p1 not placed on account ~p2	2411
Restriction ~p1 not removed from account ~p2	2412
Restriction ~p1 placed on account ~p2	2413
Restriction ~p1 removed from account ~p2	2414
Restrictions not overridden	2415
Restriction ~p1 already exists for account ~p2 - use modify function	2416
Treasury customer extract	2417
Retry Tellers cannot use Same Day Retry processing.	2418
Return item	2419
Returning to ~p1.  Delete ~p2.	2420
Acct stat must be active to reverse prior sys dated closeout	2421
REVERSAL:  Amounts do not match	2422
Revolving commitments may not spawn sub-commitments	2423
Rewind tape?	2424
Address truncated	2425
Right parenthesis expected ~p1	2426
Balance renewal code of ~p1 invalid for a backdated renewal	2427
RMS file input only	2428
Renewals cannot be effective-dated prior to history cutoff date	2429
RMS file ~p1 cannot be opened	2430
Cannot change overdraft term if expiration date precedes system date	2431
Route and transit holds created	2432
Route and transit holds deleted	2433
Route and transit holds modified	2434
Route and transit holds not created	2435
Route and transit holds not deleted	2436
Route and transit holds not modified	2437
Routine does not exist	2438
Routine update now commencing on FEPs	2439
Routing and transit (R & T) number required	2440
Cannot change overdraft term if new expiration date will precede system date	2441
Set network location for both client and server for ~p1 table	2442
Enable Automatic Logging should be on when network location is set to 2	2443
Enter effective rate or nominal rate, not both	2444
Run QWIK report	2445
Run ~p1	2446
Run-time routine not defined	2447
Same data item name? 	2448
Save all ~p1 periods - do not purge     	2449
Schedule ~p1 effective ~p2 created	2450
Schedule ~p1 effective ~p2 deleted	2451
Schedule ~p1 effective ~p2 modified	2452
Schedule ~p1 effective ~p2 not created	2453
Schedule ~p1 effective ~p2 not deleted	2454
Schedule ~p1 effective ~p2 not modified	2455
Scheduled sequence value not supported by bills	2456
Screen - ~p1	2457
Unscheduled prin pmt penalty method required if prepmt penalty plan defined	2458
Change column ~p1	2459
Add new ~p1 record	2460
Value: ~p1	2461
Security pricing file applied	2462
Security pricing file not applied	2463
Next available sequence	2464
Select Data Items	2465
Select either REPORT or SORT option	2466
Select name from list:  ~p1	2467
Select new starting check number	2468
Select valid file ID from list - ~p1	2469
Select ~p1 for primary file ID	2470
Select? 	2471
Table ~p1 contains memo or binary columns which cannot be transferred	2473
Seller code ~p1 pool ~p2 modified	2474
Seller code ~p1 pool ~p2 not modified	2475
Cannot update field ~p1	2476
Sequence ~ in DTJ file but not in HIST file	2477
Sequence ~p1 in HIST file but not in DTJ file	2478
Service fee is calculated at analysis	2479
Service fee plan ~p1 compiled	2480
Service fee plan ~p1 not compiled	2481
Check/service item assigned	2482
Check/service item created	2483
Check/service item de-assigned	2484
Check/service item deleted	2485
Check/service item modified	2486
Correct G/L account is the same as originating G/L account	2487
Service fees only assessed on analysis (Option 1 not valid)	2488
Service plan ~p1 copied to plan ~p2	2489
Service plan ~p1 created	2490
Service plan ~p1 deleted	2491
Service plan ~p1 modified	2492
Service plan ~p1 not copied to plan ~p2	2493
Service plan ~p1 not created	2494
Service plan ~p1 not deleted	2495
Service plan ~p1 not modified	2496
Service ~p1 not defined in service plan ~p2	2497
Set future or initial deposit to zero	2499
Set future value or payment to zero	2500
Set future value to zero	2501
Set initial deposit to zero	2502
Set payment or initial deposit to zero	2503
Partial payment exceeds allowable amount	2504
Set uncapitalized deferred int/div to zero via transaction posting	2505
Set up protection program name first (file definition control page)	2506
ODP Processing (End of Day)	2507
Sign-on restricted at this time	2508
Transfer option must be selected	2509
Client name is required	2510
Single group must be defined to resolve look-up table	2511
Transaction code not copied	2512
Transaction code ~p1 copied to transaction code ~p2	2513
Source has not been loaded	2514
Source only used for interim student loan product types	2515
Source ~p1 already exists for payroll	2517
Source ~p1 has been loaded	2520
Membership processing invalid	2522
Membership ~p1 created	2523
Spaces are not allowed.  Please use _ (underscore) instead. 	2527
Membership ~p1 modified	2528
Function available for debit balance loans only. Account ~p1 invalid.	2529
Specified amount option requires a loan account as an offset	2530
Standing 	2531
Start date must be the same as or after the system date	2532
Start date must be the same as or prior to the system date	2533
State required	2534
Membership ~p1 deleted	2535
Statement group 1 cannot be deleted	2536
Statement group required	2537
Statement group requires customer number	2538
Statement group ~p1 created	2539
Statement group ~p1 deleted	2540
Statement group ~p1 modified	2541
Statement group ~p1 not created	2542
Statement group ~p1 not deleted	2543
Statement group ~p1 not modified	2544
Membership ~p1 not created	2545
Membership ~p1 not modified	2546
Membership ~p1 not deleted	2547
Stop issued to store and forward (STF) monitor	2548
Membership number must be a positive integer	2549
Membership already exists	2550
Membership number ~p1 locked by another user	2551
Stop process	2552
Store and forward (STF) monitor already running	2553
Store and forward (STF) monitor is shutting down.  Try again later.	2554
Store and forward (STF) monitor not started	2555
Store and forward (STF) monitor submittal failure	2556
Store and forward (STF) monitor submitted successfully	2557
Store and forward file pending	2558
Straight line amortization requires method '3'	2559
Customer number ~p1 locked by another user	2560
Strip file not updated	2561
Strip file updated	2562
Sub-menu for function ~p1 modified	2563
Sub-menu for function ~p1 not modified	2564
Sum of percentage allocations exceeds 100%	2565
Supporting debit transaction code is not found in type ~p1	2566
Syntax error	2567
~p1 member(s) in membership ~p2. Each member must be linked to account ~p3.	2568
System date has changed to ~p1	2569
System date:  ~p1	2570
Account ~p1, customer number ~p2 is not a member of membership ~p3	2571
New membership	2572
System has already balanced on ~p1	2573
System processing date:  ~p1	2574
System processing error	2575
System-generated restriction modified	2576
System-generated restriction not modified	2577
System-generated restriction ~p1.  Userclass authorization ~p2 created.	2578
System-generated restriction ~p1.  Userclass authorization ~p2 deleted.	2579
System-generated restriction ~p1.  Userclass authorization ~p2 modified.	2580
System-generated restriction ~p1.  Userclass authorization ~p2 not created.	2581
System-generated restriction ~p1.  Userclass authorization ~p2 not deleted.	2582
System-generated restriction ~p1.  Userclass authorization ~p2 not modified.	2583
Delete membership relationship first	2584
Member deleted	2585
Member added	2586
Maximum owners for mail flag is one	2587
Primary owner not selected	2588
Total number of members ~p1 is outside the range ~p2 - ~p3 for relationship code ~p4	2589
Table ~p1 created	2590
Table ~p1 deleted	2591
Table ~p1 modified	2592
Table ~p1 not created	2593
Branch control. Use membership transfer function.	2594
Table ~p1 not deleted	2595
Table ~p1 not modified	2596
Accounts linked to membership - cannot delete all members	2597
Tape/file already processed (sequence ~p1)	2598
Target account must be different from source account	2599
Borrower is not the primary owner of target account	2600
Target account number is the same as account number	2601
TIN/SIN already assigned	2602
TIN/SIN already assigned to CIF ~p1	2603
TIN/SIN has no entries of this form type	2604
TIN/SIN starts with ~p1	2605
TIN/SIN ~p1 sequence ~p2 created	2606
TIN/SIN ~p1 sequence ~p2 deleted	2607
TIN/SIN ~p1 sequence ~p2 modified	2608
TIN/SIN ~p1 sequence ~p2 not created	2609
TIN/SIN ~p1 sequence ~p2 not deleted	2610
TIN/SIN ~p1 sequence ~p2 not modified	2611
Teaser expiration not valid without teaser rate	2612
Teaser rate not defined	2613
Teaser rate requires term or expiration date	2614
Teller already posted	2615
Teller balancing is on ~p1	2616
Product type ~p1 contains data errors. Export file not created.	2617
Teller posting file is closed for ~p1	2618
Invalid membership number	2619
Teller sequence number required to process error-correct transactions	2620
Card membership fee	2621
Teller ~p1 is in use by source ~p2	2622
Member ~p1 already exists	2623
Default deposit relationship code not defined	2624
Default loan relationship code not defined	2625
Term cannot be determined	2626
Payment order/collection order	2627
Term may only contain characters D, W, M, Y, or Q	2628
Term must contain characters D, W, M, Y, or Q	2629
Test escheat analysis not run	2630
When using this line for option A, enter an account number beginning with /	2631
Third party PDO check for account ~p1 created	2632
Third party PDO check for account ~p1 deleted	2633
Third party PDO check for account ~p1 modified	2634
Third party PDO check for account ~p1 not created	2635
Third party PDO check for account ~p1 not deleted	2636
Third party PDO check for account ~p1 not modified	2637
This file definition has not defined the system name.	2638
CR	2639
This is the base currency	2640
DR	2641
Three or more kite periods must be on file in order to purge	2642
Through-date must be ~p1	2643
Ticker ~p1 does not exist	2644
Tickler entry for account ~p1 created	2645
Tickler entry for account ~p1 deleted	2646
Tickler entry for account ~p1 modified	2647
Tickler entry for account ~p1 not created	2648
Tickler file for account ~p1 not deleted	2649
Tickler entry for account ~p1 not modified	2650
Tickler entry for customer ~p1 created	2651
Tickler entry for customer ~p1 deleted	2652
Tickler entry for customer ~p1 modified	2653
Tickler entry for customer ~p1 not created	2654
Tickler file for customer ~p1 not deleted	2655
Tickler entry for customer ~p1 not modified	2656
Tier value must be '1' with tier type of '1'	2657
Tiers are not consistent within selected date range	2658
Must contain at least one qualifier /NAME/, /DEPT/, /PHON/, /TELX/, /FAXT/	2659
TO DATE must be the same as or after the FROM DATE	2660
to TYPE definitions for Product ~p1 in the following currencies:	2661
to ~p1 ~p2 defaults for Product ~p3 in the following currencies:	2662
Too few keys in reference ~p1	2663
Too many keys in reference ~p1	2664
Accrual capitalization requires capitalization frequency	2665
Top level access key must be a literal key	2666
Accrual capitalization requires int/div calculated at billing	2667
Total %HELD ~p1 exceeds 100%	2668
Total advances are less than account balance	2669
Date must equal "end of study date plus specified period"	2670
Total DDA accounts reviewed - ~p1	2671
Total due must be less than or equal to the total billed	2672
Total escrow payment is 0.00	2673
Total qualifying and filed as suspect - ~p1	2674
Total subject to analysis - ~p1	2675
Transaction already error-corrected	2676
Cash flow generation requires cash flow projection days	2677
Transaction already reversed or error-corrected on screen	2678
Transaction amount cannot be less than zero	2679
Transaction array not defined	2680
Must contain one qualifier BROK, ELEC, PHON, TELX, FAXT	2681
Transaction cannot be overridden	2683
Transaction cannot be removed because of currency exchange	2684
Transaction code authorization created	2685
Transaction code authorization deleted	2686
Transaction code authorization modified	2687
Transaction code authorization not created	2688
Transaction code authorization not deleted	2689
Transaction code authorization not modified	2690
Transaction code cannot be modified	2691
Transaction code does not exist	2692
Transaction code entered must be linked to a specific G/L account	2693
Transaction code missing in product ~p1, node ~p2, piece ~p3	2694
Transaction code for ~p1 must be a credit	2695
Transaction code for ~p1 must be a debit	2696
Transaction code must be in the miscellaneous transaction class	2697
Transaction code must not be in the FEE transaction group	2698
Must contain /NAME/ qualifier for option J	2699
Transaction code required with offset account	2700
Transaction code requires an offset account	2701
Transaction code selected is linked to the one being edited	2702
Transaction code ~p1 created	2703
Transaction code ~p1 deleted	2704
Transaction code ~p1 is invalid for account group ~p2	2705
Transaction code ~p1 modified	2706
Transaction code ~p1 not created	2707
Transaction code ~p1 not deleted	2708
Transaction code ~p1 not modified	2709
Transaction codes initialized	2710
Transaction codes not initialized	2711
Transaction could not be processed	2712
Transaction fees only assessed on analysis (Option 1 not valid)	2713
Last character of term must be D, W, M, Y, or Q	2714
Term cannot contain 2 consecutive letters	2715
Transaction group already exists	2716
Fee schedule already exists	2717
Exemption plan ~p1 not defined	2718
Transaction group ~p1 not defined	2719
Exemption plan ~p1 not copied to plan ~p2	2720
Exemption plan ~p1 copied to plan ~p2	2721
Exemption plan must contain category 1, 3, or 4	2722
Full exemption balance is zero	2723
Reduced charge transaction group only valid with category 3	2724
Transaction is not part of a foreign exchange voucher	2725
Transaction may not be reversed.  Bill record due amount will be negative.	2727
Transaction not on file	2728
Transaction note for account ~p1 created	2729
Transaction note for account ~p1 deleted	2730
Transaction note for account ~p1 modified	2731
Transaction note for account ~p1 not created	2732
Transaction note for account ~p1 not deleted	2733
Transaction note for account ~p1 not modified	2734
Transaction rejected by action grid (full payment, ~p1 category)	2735
Transaction rejected by action grid (partial payment, ~p1 category)	2736
Transaction rejected by transaction handler	2737
Transaction group cannot be the exemption plan	2738
Transaction results in negative late charge balance	2739
Category ~p1 and calculation method 1 (item count) cannot be used together	2740
Transaction results in negative unapplied funds	2741
Calculation method 1 (item count) and free item basis (period) cannot be used together	2742
Transactions do not balance	2743
Transactions filed into Store and Forward file	2744
Insufficient debit authorization	2745
Complete previous field to select option A	2746
Transfer account must be a Retirement/Savings account	2747
Transfer account must be of the same currency	2748
Transfer between currencies restricted	2749
Exemption plan ~p1 not copied to plan ~p2	2750
Exemption plan ~p1 copied to plan ~p2	2751
Transfer to same account restricted	2752
No target account found	2753
Dividend below minimum	2754
Bonus below minimum	2755
Invalid increment	2756
Increment must wholly divide into period	2757
Treasury short name already exists	2758
Ovr provision amount and ovr provision percentage not allowed	2759
Transmit from XMT	2760
TSSP records not present	2761
TTL file does not exist for beginning-of-month	2762
TTL file does not exist for end-of-month	2763
TTL file does not exist for ~p1	2764
Use function LNPS01 to modify next payment date for payment schedule loans	2765
Protected transaction code	2766
Type does not begin until ~p1	2767
Type ended on ~p1	2768
Type ~p1 changed	2769
Type ~p1 has no G/L account in CHKS user table	2770
Type ~p1 is not a valid CIF type	2771
Type ~p1 not changed	2772
Type ~p1 restricted 	2773
Type ~p1 restricted for ~p2 ~p3	2774
Type ~p1, sequence ~p2	2775
Type ~p1, ~p2 ~p3 changed	2776
Type ~p1, ~p2 ~p3 not changed	2777
Only one period allowed	2778
UIC group does not match MTM	2779
Unable to calculate [LN]IRN.  Error in computing anti-log.	2780
Unable to calculate [LN]IRN.  Error in computing natural log.	2781
Unable to change primary CIF on unsupported Retirement/Savings plan account	2782
Unable to close - accrual = ~p1	2783
Unable to close - balance = ~p1	2784
Unable to close ~p1	2785
Unable to close.  Linked accounts not closed.	2786
Unable to complete payment schedule modifications	2787
Unable to connect with host. Please enter system processing date.	2788
Unable to define posting batch	2789
Debit/credit transaction codes required	2790
Unable to exchange ~p1	2791
Dividend	2792
Unable to locate transaction in account history	2793
Unable to locate transaction on the HOST	2794
Unable to match error-corrected transaction for history sequence ~p1	2795
Unable to modify relationship code on escrow account	2796
Dues charge	2797
Unable to open common mailbox ~p1	2798
Unable to open file ~p1	2799
Unable to open import file ~p1	2800
Unable to open RMS file -- process aborted	2801
Unable to open start-up file ~p1	2802
Percentage allocation for ~p1 must be zero when closeout in process	2803
Percentage allocation for ~p1 must equal 0% or between ~p2% and 100% inclusive	2804
Unable to reverse fee ~p1 assessed in payment file.  Fee already satisfied.	2805
Unable to sign off.  Unposted transactions exist.	2806
Unable to sign on.  Unposted transactions exist.	2807
Unable to start/restart event ~p1	2808
Unapplied funds balance equal ~p1	2809
Uncollected interest/dividend balance is equal to $~p1	2810
Undefined database record ~p1	2811
Undefined node name for ~p1	2812
Undisbursed balance is equal to $~p1	2813
Unexpected parameter ~p1	2814
Unexpected right parenthesis ~p1	2815
Exposure record created	2816
Exposure record modified	2817
Exposure record deleted	2818
Unposted reprocess file(s) exist for prior days	2819
Exposure record not created	2820
Attn: Same-day reversal being used instead of error-correct.	2821
Exposure record not modified	2822
Exposure record not deleted	2823
Use check number between ~p1 and ~p2	2824
Use commas to separate transaction codes only	2825
Use exact closeout amount:   	2826
Use function COLORD2 to modify non-standing collection orders	2827
Use function COLORD5 to cancel non-standing collection orders	2828
Use function PAYORD2 to modify non-standing payment orders	2829
Use function PAYORD5 to cancel non-standing payment orders	2830
Use function STDCOL2 to modify standing collection orders	2831
Use function STDCOL5 to cancel standing collection orders	2832
Use function STDPAY2 to modify standing payment orders	2833
Use function STDPAY5 to cancel standing payment orders	2834
Use negative balance closeout transaction code	2835
Use only UTBLPROD1 and UTBLPROD2 files	2836
Use only UTBLPROD2 file	2837
Use opposite transaction code to reverse this transaction	2838
Use payment transaction code	2839
Use the G/L Set Code functions (SKL0*) to maintain this table	2840
Use the Product Type/Default functions (SKL00*) to maintain this table	2841
Use the UP ARROW key to return to the menu~p1	2842
Used for reporting only	2843
User already exists in library ~p1	2844
User does not have write access	2846
Ledger and accrual balances for investment account ~p1 must be zero	2847
The date must be the last day of the month	2848
User ID required	2849
User ID ~p1 is currently signed on to branch ~p2	2850
User ID ~p1 is currently signed on to posting date ~p2	2851
Sum of percentage allocations must be 0% or 100%	2852
Group ~p1 not valid for investment sweep processing	2853
Only ~p1 non-institution investment accounts allowed	2854
User ID ~p1 is signed on to branch ~p2 on ~p3	2855
User ID ~p1 sign-off complete	2856
User IDs are not the same for these checks	2857
User invalid	2858
User is not allowed to access this table	2859
User is not allowed to delete table entry	2860
User not added	2861
User not defined	2862
User not deleted	2863
User record locked	2864
User table ~p1 initialized	2865
User table ~p1 not initialized	2866
User ~p1 added to library ~p2	2867
User ~p1 created	2868
User ~p1 deleted	2869
User ~p1 deleted from library ~p2	2870
User ~p1 is not in library ~p2	2871
User ~p1 modified	2872
User ~p1 not created	2873
User ~p1 not deleted	2874
User ~p1 not modified	2875
User ~p1 restricted to branch ~p2	2876
User-defined frequency ~p1 created	2877
User-defined frequency ~p1 deleted	2878
User-defined frequency ~p1 modified	2879
User-defined frequency ~p1 not created	2880
User-defined frequency ~p1 not deleted	2881
User-defined frequency ~p1 not modified	2882
User-defined restriction ~p1 created	2883
User-defined restriction ~p1 deleted	2884
User-defined restriction ~p1 modified	2885
User-defined restriction ~p1 not created	2886
User-defined restriction ~p1 not deleted	2887
User-defined restriction ~p1 not modified	2888
User-defined restriction ~p1.  Userclass authorization ~p2 created.	2889
